"","company","company_location","review_date","country_of_bean_origin","specific_bean_origin_or_bar_name","cocoa_percent","rating","counts_of_ingredients","bean","cocoa_butter","vanila","lecithin","salt","sugar","sweetener_without_sugar","first_taste","second_taste","third_taste"
"1","5150","U.S.A",2019,"Madagascar","Bejofo Estate, batch 1",76,3.75,3,"1","1","0","0","0","1","0","cocoa","blackberry","full body"
"2","5150","U.S.A",2019,"Dominican republic","Zorzal, batch 1",76,3.5,3,"1","1","0","0","0","1","0","cocoa","vegetal","savory"
"3","5150","U.S.A",2019,"Tanzania","Kokoa Kamili, batch 1",76,3.25,3,"1","1","0","0","0","1","0","rich cocoa","fatty","bready"
"4","A. Morin","France",2012,"Peru","Peru",63,3.75,4,"1","1","0","1","0","1","0","fruity","melon","roasty"
"5","A. Morin","France",2012,"Bolivia","Bolivia",70,3.5,4,"1","1","0","1","0","1","0","vegetal","nutty",NA
"6","A. Morin","France",2013,"Venezuela","Chuao",70,4,4,"1","1","0","1","0","1","0","oily","nut","caramel"
"7","A. Morin","France",2013,"Peru","Chanchamayo Province",63,4,3,"1","1","0","0","0","1","0","sweet","cocoa","tangerine"
"8","A. Morin","France",2013,"Ecuador","Equateur",70,3.75,4,"1","1","0","1","0","1","0","sandy","nutty","cocoa"
"9","A. Morin","France",2013,"Peru","Chanchamayo Province",70,3.5,4,"1","1","0","1","0","1","0","cocoa","sour","intense tangerine"
"10","A. Morin","France",2013,"Brazil","Brazil",70,3.25,4,"1","1","0","1","0","1","0","mild tobacco",NA,NA
"11","A. Morin","France",2013,"Papua new guinea","Papua New Guinea",70,3.25,4,"1","1","0","1","0","1","0","mild fruit","strong smoke",NA
"12","A. Morin","France",2013,"Peru","Piura",70,3.25,4,"1","1","0","1","0","1","0","green","nutty","cocoa"
"13","A. Morin","France",2013,"Madagascar","Madagascar, Criollo",70,3,4,"1","1","0","1","0","1","0","sticky","red fruit","sour"
"14","A. Morin","France",2013,"Burma","Birmanie",70,3,4,"1","1","0","1","0","1","0","sticky","smokey","grass"
"15","A. Morin","France",2013,"Panama","Panama",70,2.75,4,"1","1","0","1","0","1","0","brief fruit note","earthy","nutty"
"16","A. Morin","France",2013,"Colombia","Colombie",70,2.75,4,"1","1","0","1","0","1","0","burnt rubber","alkalyzed notes",NA
"17","A. Morin","France",2014,"Peru","Pablino",70,4,4,"1","1","0","1","0","1","0","delicate","hazelnut","brownie"
"18","A. Morin","France",2014,"Venezuela","Puerto Cabello, Criollo",70,3.75,4,"1","1","0","1","0","1","0","astringent","nutty","chocolatey"
"19","A. Morin","France",2014,"Cuba","Cuba",70,3.5,4,"1","1","0","1","0","1","0","sliglty dry","papaya",NA
"20","A. Morin","France",2014,"Venezuela","Sur del Lago, Criollo",70,3.5,4,"1","1","0","1","0","1","0","nutty","mild choco","roasty"
"21","A. Morin","France",2014,"Venezuela","Carenero, Criollo",70,2.75,4,"1","1","0","1","0","1","0","harsh","leather","earthy"
"22","A. Morin","France",2015,"Togo","Akata",70,3.5,4,"1","1","0","1","0","1","0","mild profile","chocolaty","spice"
"23","A. Morin","France",2015,"Peru","Quilla",70,3.5,4,"1","1","0","1","0","1","0","grainy texture","cocoa","sweet"
"24","A. Morin","France",2015,"Togo","Atsane",70,3,4,"1","1","0","1","0","1","0","roasty","acidic","nutty"
"25","A. Morin","France",2015,"Togo","Kpime",70,2.75,4,"1","1","0","1","0","1","0","burnt wood","earthy","choco"
"26","A. Morin","France",2016,"Sao tome","Agua Grande",63,3.75,4,"1","1","0","1","0","1","0","sweet","chocolatey","vegetal"
"27","A. Morin","France",2018,"Peru","Absolu",63,3.75,4,"1","1","0","1","0","1","0","sweet","dairy","spice"
"28","A. Morin","France",2018,"Venezuela","Porcelana",70,3.5,4,"1","1","0","1","0","1","0","alluring aroma","powdery","nutty"
"29","Acalli","U.S.A",2015,"Peru","Chulucanas, El Platanal, batch 001",70,3.75,2,"1","0","0","0","0","1","0","yellow fruit",NA,NA
"30","Acalli","U.S.A",2015,"Peru","Tumbes, Norandino",70,3.75,2,"1","0","0","0","0","1","0","intense","nutty","cherry"
"31","Acalli","U.S.A",2020,"Peru","Barataria, El Plantal and Norandino Tumbes blend",70,3.5,2,"1","0","0","0","0","1","0","hot cocoa","rich","molasses"
"32","Acalli","U.S.A",2020,"Mexico","Teapa, Tabasco, batch 2",74,3.25,2,"1","0","0","0","0","1","0","herbal","molasses","hammy"
"33","Adi aka Fijiana (Easy In Ltd)","Fiji",2011,"Fiji","Vanua Levu",88,3.5,3,"1","1","0","0","0","1","0","orange","floral","lemon"
